epoch,auc_2,binary_accuracy,f1,f1_macro,f1_micro,f1_weighted,learning_rate,loss,precision_2,recall_2,val_auc_2,val_binary_accuracy,val_f1,val_f1_macro,val_f1_micro,val_f1_weighted,val_loss,val_precision_2,val_recall_2
0,0.9526801109313965,0.8752633929252625,0.8598484396934509,0.8598484396934509,0.8598484396934509,0.8598484396934509,9.999999747378752e-05,0.3371243178844452,0.9089089035987854,0.8158131241798401,0.9711297154426575,0.5304518938064575,0.0,0.0,0.0,0.0,0.7361928820610046,0.0,0.0
1,0.9862533211708069,0.9481669068336487,0.9447686672210693,0.9447686672210693,0.9447686672210693,0.9447686672210693,9.999999747378752e-05,0.23729214072227478,0.944344699382782,0.9451931715011597,0.9604524970054626,0.5304518938064575,0.0,0.0,0.0,0.0,0.8418535590171814,0.0,0.0
2,0.9864694476127625,0.9502739310264587,0.947321355342865,0.947321355342865,0.947321355342865,0.947321355342865,9.999999747378752e-05,0.2203175276517868,0.9414374232292175,0.953279435634613,0.9593212604522705,0.5304518938064575,0.0,0.0,0.0,0.0,0.9331293106079102,0.0,0.0
3,0.9885035157203674,0.9557521939277649,0.9534780383110046,0.9534780383110046,0.9534780383110046,0.9534780383110046,9.999999747378752e-05,0.2088758647441864,0.940559446811676,0.9667565226554871,0.9783899188041687,0.5304518938064575,0.0,0.0,0.0,0.0,0.7882168292999268,0.0,0.0
4,0.988197386264801,0.9599663019180298,0.9575324058532715,0.9575324058532715,0.9575324058532715,0.9575324058532715,9.499999578110874e-05,0.19990533590316772,0.9528470039367676,0.9622641801834106,0.9831706285476685,0.5834970474243164,0.20300748944282532,0.20300748944282532,0.20300748944282532,0.20300748944282532,0.6909021735191345,1.0,0.11297070980072021
5,0.9901963472366333,0.9570164084434509,0.9544234871864319,0.9544234871864319,0.9544234871864319,0.9544234871864319,9.499999578110874e-05,0.1922624558210373,0.9493333101272583,0.9595687389373779,0.978971004486084,0.5540274977684021,0.09561752527952194,0.09561752527952194,0.09561752527952194,0.09561752527952194,0.8398228883743286,1.0,0.050209205597639084
6,0.9900423288345337,0.9582806825637817,0.9557046294212341,0.9557046294212341,0.9557046294212341,0.9557046294212341,9.499999578110874e-05,0.18643906712532043,0.9518716335296631,0.9595687389373779,0.9918875098228455,0.6876227855682373,0.5015673637390137,0.5015673637390137,0.5015673637390137,0.5015673637390137,0.4954599440097809,1.0,0.33472803235054016
7,0.9904772043228149,0.9633375406265259,0.9614189863204956,0.9614189863204956,0.9614189863204956,0.9614189863204956,9.499999578110874e-05,0.1788444221019745,0.9492118954658508,0.9739443063735962,0.9952890276908875,0.8349705338478088,0.7878787517547607,0.7878787517547607,0.7878787517547607,0.7878787517547607,0.32293209433555603,0.993630588054657,0.6527196764945984
8,0.9924556612968445,0.96628737449646,0.964221715927124,0.964221715927124,0.964221715927124,0.964221715927124,9.499999578110874e-05,0.16772134602069855,0.9599287509918213,0.9685534834861755,0.9979544281959534,0.9626718759536743,0.9591397643089294,0.9591397643089294,0.9591397643089294,0.9591397643089294,0.19339631497859955,0.9867256879806519,0.9330543875694275
9,0.9910627007484436,0.9595448970794678,0.9572573304176331,0.9572573304176331,0.9572573304176331,0.9572573304176331,9.499999578110874e-05,0.17063990235328674,0.948808491230011,0.9658580422401428,0.9970788955688477,0.9390962719917297,0.9312637448310852,0.9312637448310852,0.9312637448310852,0.9312637448310852,0.2241685837507248,0.9905660152435303,0.8786610960960388
10,0.9922738671302795,0.9646017551422119,0.962432861328125,0.962432861328125,0.962432861328125,0.962432861328125,9.499999578110874e-05,0.1593955159187317,0.9581478238105774,0.9667565226554871,0.9984503984451294,0.9724950790405273,0.9713113903999329,0.9713113903999329,0.9713113903999329,0.9713113903999329,0.14807529747486115,0.9518072009086609,0.991631805896759
11,0.9918709397315979,0.9570164084434509,0.9543827176094055,0.9543827176094055,0.9543827176094055,0.9543827176094055,9.499999578110874e-05,0.16270165145397186,0.9501335620880127,0.9586702585220337,0.9982179403305054,0.974459707736969,0.973305881023407,0.973305881023407,0.973305881023407,0.973305881023407,0.16615043580532074,0.9556451439857483,0.991631805896759
12,0.9936286807060242,0.9696586728096008,0.9677996039390564,0.9677996039390564,0.9677996039390564,0.9677996039390564,9.499999578110874e-05,0.14662326872348785,0.9634906649589539,0.9721473455429077,0.9985200762748718,0.9823182821273804,0.9811320304870605,0.9811320304870605,0.9811320304870605,0.9811320304870605,0.16576501727104187,0.9831932783126831,0.9790794849395752
13,0.9926460385322571,0.96628737449646,0.9640287160873413,0.9640287160873413,0.9640287160873413,0.9640287160873413,9.499999578110874e-05,0.1488146036863327,0.9648965001106262,0.9631626009941101,0.9982489347457886,0.9803536534309387,0.9789915084838867,0.9789915084838867,0.9789915084838867,0.9789915084838867,0.1163579598069191,0.9831223487854004,0.9748954176902771
14,0.9939916729927063,0.966708779335022,0.9644942879676819,0.9644942879676819,0.9644942879676819,0.9644942879676819,9.499999578110874e-05,0.14182546734809875,0.9649280309677124,0.9640610814094543,0.9988610148429871,0.9783890247344971,0.9773194789886475,0.9773194789886475,0.9773194789886475,0.9773194789886475,0.10988741368055344,0.9634146094322205,0.991631805896759
15,0.994134247303009,0.9633375406265259,0.9610738158226013,0.9610738158226013,0.9610738158226013,0.9610738158226013,9.499999578110874e-05,0.13746632635593414,0.9572192430496216,0.9649595618247986,0.9987602233886719,0.990176796913147,0.9895177483558655,0.9895177483558655,0.9895177483558655,0.9895177483558655,0.1459369659423828,0.9915966391563416,0.9874476790428162
16,0.993961751461029,0.966708779335022,0.9647478461265564,0.9647478461265564,0.9647478461265564,0.9647478461265564,9.499999578110874e-05,0.1350177824497223,0.9583333134651184,0.9712488651275635,0.9982024431228638,0.9607072472572327,0.9596773386001587,0.9596773386001587,0.9596773386001587,0.9596773386001587,0.134818896651268,0.9260700345039368,0.9958158731460571
17,0.9946174025535583,0.9624947309494019,0.9599639177322388,0.9599639177322388,0.9599639177322388,0.9599639177322388,9.499999578110874e-05,0.13488633930683136,0.9612612724304199,0.9586702585220337,0.9988377690315247,0.9803536534309387,0.9792530536651611,0.9792530536651611,0.9792530536651611,0.9792530536651611,0.10975873470306396,0.9711934328079224,0.9874476790428162
18,0.9943817257881165,0.965865969657898,0.9637907147407532,0.9637907147407532,0.9637907147407532,0.9637907147407532,9.499999578110874e-05,0.12790653109550476,0.9590747356414795,0.9685534834861755,0.9991399645805359,0.9882121682167053,0.9874476194381714,0.9874476194381714,0.9874476194381714,0.9874476194381714,0.1058211475610733,0.9874476790428162,0.9874476790428162
19,0.9959015846252441,0.9692372679710388,0.9672498106956482,0.9672498106956482,0.9672498106956482,0.9672498106956482,9.499999578110874e-05,0.11832741647958755,0.9659498333930969,0.9685534834861755,0.9991166591644287,0.9823182821273804,0.9812888503074646,0.9812888503074646,0.9812888503074646,0.9812888503074646,0.11539439857006073,0.9752066135406494,0.9874476790428162
20,0.9953303933143616,0.9705014824867249,0.9686097502708435,0.9686097502708435,0.9686097502708435,0.9686097502708435,9.499999578110874e-05,0.11733879148960114,0.9668755531311035,0.9703503847122192,0.9992251992225647,0.9862475395202637,0.9852630496025085,0.9852630496025085,0.9852630496025085,0.9852630496025085,0.10583041608333588,0.991525411605835,0.9790794849395752
21,0.993859052658081,0.974294126033783,0.9725841879844666,0.9725841879844666,0.9725841879844666,0.9725841879844666,9.499999578110874e-05,0.11869147419929504,0.9730215668678284,0.9721473455429077,0.9985665082931519,0.9626718759536743,0.9617705941200256,0.9617705941200256,0.9617705941200256,0.9617705941200256,0.1069975346326828,0.9263566136360168,1.0
22,0.9945289492607117,0.9713442921638489,0.9695339202880859,0.9695339202880859,0.9695339202880859,0.9695339202880859,9.02499959920533e-05,0.11907624453306198,0.9669347405433655,0.9721473455429077,0.9987369775772095,0.974459707736969,0.9734150767326355,0.9734150767326355,0.9734150767326355,0.9734150767326355,0.09752806276082993,0.9520000219345093,0.9958158731460571
23,0.9944736957550049,0.9717656970024109,0.9698333740234375,0.9698333740234375,0.9698333740234375,0.9698333740234375,9.02499959920533e-05,0.1135379821062088,0.9720216393470764,0.9676550030708313,0.9980473518371582,0.9076620936393738,0.8909512162208557,0.8909512162208557,0.8909512162208557,0.8909512162208557,0.22531235218048096,1.0,0.8033472895622253
24,0.9953725337982178,0.973872721195221,0.9720720052719116,0.9720720052719116,0.9720720052719116,0.9720720052719116,9.02499959920533e-05,0.10998937487602234,0.9747064113616943,0.969451904296875,0.9991554021835327,0.9724950790405273,0.9715446829795837,0.9715446829795837,0.9715446829795837,0.9715446829795837,0.10331075638532639,0.9446640610694885,1.0
25,0.9957982301712036,0.974294126033783,0.9724852442741394,0.9724852442741394,0.9724852442741394,0.9724852442741394,9.02499959920533e-05,0.11000780761241913,0.9764492511749268,0.9685534834861755,0.9989927411079407,0.9823182821273804,0.9813663959503174,0.9813663959503174,0.9813663959503174,0.9813663959503174,0.07577113807201385,0.9713114500045776,0.991631805896759
26,0.9953043460845947,0.974715530872345,0.97299724817276,0.97299724817276,0.97299724817276,0.97299724817276,9.02499959920533e-05,0.10721193253993988,0.9747520089149475,0.9712488651275635,0.9990081787109375,0.9724950790405273,0.9714285135269165,0.9714285135269165,0.9714285135269165,0.9714285135269165,0.09660489857196808,0.9482071995735168,0.9958158731460571
27,0.9943524599075317,0.9692372679710388,0.9671318531036377,0.9671318531036377,0.9671318531036377,0.9671318531036377,9.02499959920533e-05,0.10987287759780884,0.9693140983581543,0.9649595618247986,0.9992484450340271,0.9803536534309387,0.9793387651443481,0.9793387651443481,0.9793387651443481,0.9793387651443481,0.08244515210390091,0.9673469662666321,0.991631805896759
28,0.9965152144432068,0.974715530872345,0.9729485511779785,0.9729485511779785,0.9729485511779785,0.9729485511779785,9.02499959920533e-05,0.09924182295799255,0.9764705896377563,0.969451904296875,0.9992871880531311,0.990176796913147,0.9895177483558655,0.9895177483558655,0.9895177483558655,0.9895177483558655,0.09646691381931305,0.9915966391563416,0.9874476790428162
29,0.9947211742401123,0.9705014824867249,0.9686097502708435,0.9686097502708435,0.9686097502708435,0.9686097502708435,8.573749801144004e-05,0.11099053919315338,0.9668755531311035,0.9703503847122192,0.9994189143180847,0.9803536534309387,0.9794238209724426,0.9794238209724426,0.9794238209724426,0.9794238209724426,0.07123100757598877,0.9635627269744873,0.9958158731460571
30,0.9962798953056335,0.974294126033783,0.9727312922477722,0.9727312922477722,0.9727312922477722,0.9727312922477722,8.573749801144004e-05,0.10053608566522598,0.9679715037345886,0.9775381684303284,0.9995040893554688,0.9823182821273804,0.9814432263374329,0.9814432263374329,0.9814432263374329,0.9814432263374329,0.07755252718925476,0.9674796462059021,0.9958158731460571
31,0.994393527507782,0.9734513163566589,0.9717361927032471,0.9717361927032471,0.9717361927032471,0.9717361927032471,8.573749801144004e-05,0.10514294356107712,0.9704301357269287,0.973045825958252,0.9994499683380127,0.9862475395202637,0.9853861331939697,0.9853861331939697,0.9853861331939697,0.9853861331939697,0.07908977568149567,0.9833333492279053,0.9874476790428162
32,0.9964107275009155,0.973872721195221,0.9720720052719116,0.9720720052719116,0.9720720052719116,0.9720720052719116,8.573749801144004e-05,0.09746208041906357,0.9747064113616943,0.969451904296875,0.9992175102233887,0.9803536534309387,0.9794238209724426,0.9794238209724426,0.9794238209724426,0.9794238209724426,0.08319490402936935,0.9635627269744873,0.9958158731460571
33,0.9954723715782166,0.974294126033783,0.9725100994110107,0.9725100994110107,0.9725100994110107,0.9725100994110107,8.145062020048499e-05,0.09944421052932739,0.9755877256393433,0.969451904296875,0.9992793798446655,0.9803536534309387,0.9787233471870422,0.9787233471870422,0.9787233471870422,0.9787233471870422,0.08679544180631638,0.9956709742546082,0.9623430967330933
34,0.9964473843574524,0.9797724485397339,0.9785330295562744,0.9785330295562744,0.9785330295562744,0.9785330295562744,8.145062020048499e-05,0.09206470847129822,0.974176287651062,0.982928991317749,0.9994343519210815,0.9823182821273804,0.9814432263374329,0.9814432263374329,0.9814432263374329,0.9814432263374329,0.07220421731472015,0.9674796462059021,0.9958158731460571
35,0.9968279004096985,0.975558340549469,0.9739909768104553,0.9739909768104553,0.9739909768104553,0.9739909768104553,8.145062020048499e-05,0.09058387577533722,0.9722470641136169,0.9757412672042847,0.9994189143180847,0.984282910823822,0.9835390448570251,0.9835390448570251,0.9835390448570251,0.9835390448570251,0.06981202960014343,0.9676113128662109,1.0
36,0.9966524243354797,0.9730299115180969,0.9710144400596619,0.9710144400596619,0.9710144400596619,0.9710144400596619,8.145062020048499e-05,0.09403179585933685,0.9789954423904419,0.9631626009941101,0.999535083770752,0.9882121682167053,0.987551748752594,0.987551748752594,0.987551748752594,0.987551748752594,0.0619061253964901,0.9794238805770874,0.9958158731460571
37,0.9971067309379578,0.975979745388031,0.9744279980659485,0.9744279980659485,0.9744279980659485,0.9744279980659485,8.145062020048499e-05,0.08792674541473389,0.9731183052062988,0.9757412672042847,0.9994964003562927,0.990176796913147,0.9896049499511719,0.9896049499511719,0.9896049499511719,0.9896049499511719,0.06571857631206512,0.9834710955619812,0.9958158731460571
38,0.9977177381515503,0.9797724485397339,0.9784365892410278,0.9784365892410278,0.9784365892410278,0.9784365892410278,8.145062020048499e-05,0.08074627816677094,0.9784366488456726,0.9784366488456726,0.9994807839393616,0.984282910823822,0.9835390448570251,0.9835390448570251,0.9835390448570251,0.9835390448570251,0.06985415518283844,0.9676113128662109,1.0
39,0.9958296418190002,0.9730299115180969,0.9710668325424194,0.9710668325424194,0.9710668325424194,0.9710668325424194,8.145062020048499e-05,0.09257539361715317,0.9772520661354065,0.9649595618247986,0.9994421005249023,0.9803536534309387,0.9791666269302368,0.9791666269302368,0.9791666269302368,0.9791666269302368,0.06290043145418167,0.9751037359237671,0.9832636117935181
40,0.9975069761276245,0.975558340549469,0.9738737344741821,0.9738737344741821,0.9738737344741821,0.9738737344741821,7.737809210084379e-05,0.08387502282857895,0.9765130877494812,0.9712488651275635,0.9993802309036255,0.9823182821273804,0.9815194606781006,0.9815194606781006,0.9815194606781006,0.9815194606781006,0.06096406653523445,0.9637096524238586,1.0
41,0.9974521398544312,0.9806152582168579,0.9793721437454224,0.9793721437454224,0.9793721437454224,0.9793721437454224,7.737809210084379e-05,0.07934866100549698,0.9776186347007751,0.9811320900917053,0.9993104338645935,0.984282910823822,0.9834024906158447,0.9834024906158447,0.9834024906158447,0.9834024906158447,0.06424965709447861,0.9753086566925049,0.991631805896759
42,0.9963244199752808,0.9806152582168579,0.9793350100517273,0.9793350100517273,0.9793350100517273,0.9793350100517273,7.737809210084379e-05,0.08201351761817932,0.9793351292610168,0.9793351292610168,0.9993646144866943,0.9862475395202637,0.9855669736862183,0.9855669736862183,0.9855669736862183,0.9855669736862183,0.06289985775947571,0.9715447425842285,1.0
43,0.996278703212738,0.9726085066795349,0.9708388447761536,0.9708388447761536,0.9708388447761536,0.9708388447761536,7.737809210084379e-05,0.08920767903327942,0.9695340394973755,0.9721473455429077,0.9993259310722351,0.9666011929512024,0.9656565189361572,0.9656565189361572,0.9656565189361572,0.9656565189361572,0.10286138951778412,0.93359375,1.0
