epoch,auc,categorical_accuracy,f1,f1_macro,f1_micro,f1_weighted,learning_rate,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1,val_f1_macro,val_f1_micro,val_f1_weighted,val_loss,val_precision,val_recall
88,0.9950286746025085,0.9082756638526917,"""[tf.Tensor(0.9086619, shape=(), dtype=float32), tf.Tensor(0.79437864, shape=(), dtype=float32), tf.Tensor(0.96474785, shape=(), dtype=float32), tf.Tensor(0.87264496, shape=(), dtype=float32), tf.Tensor(0.8775665, shape=(), dtype=float32), tf.Tensor(0.83236986, shape=(), dtype=float32), tf.Tensor(0.87600636, shape=(), dtype=float32), tf.Tensor(0.89821875, shape=(), dtype=float32), tf.Tensor(0.8645096, shape=(), dtype=float32), tf.Tensor(0.9600317, shape=(), dtype=float32)]""",0.8849136233329773,0.9082756042480469,0.9078936576843262,4.876749881077558e-05,0.2733347415924072,0.9289824366569519,0.8890811800956726,0.9959331154823303,0.9089574217796326,"""[tf.Tensor(0.94098353, shape=(), dtype=float32), tf.Tensor(0.8014981, shape=(), dtype=float32), tf.Tensor(0.98151946, shape=(), dtype=float32), tf.Tensor(0.87314665, shape=(), dtype=float32), tf.Tensor(0.84722215, shape=(), dtype=float32), tf.Tensor(0.8305084, shape=(), dtype=float32), tf.Tensor(0.8518518, shape=(), dtype=float32), tf.Tensor(0.88128763, shape=(), dtype=float32), tf.Tensor(0.8747044, shape=(), dtype=float32), tf.Tensor(0.95615613, shape=(), dtype=float32)]""",0.8838878870010376,0.9089573621749878,0.9077161550521851,0.2551884353160858,0.9238964915275574,0.8913362622261047
89,0.9949697852134705,0.9061516523361206,"""[tf.Tensor(0.91069, shape=(), dtype=float32), tf.Tensor(0.7973665, shape=(), dtype=float32), tf.Tensor(0.95974946, shape=(), dtype=float32), tf.Tensor(0.8777735, shape=(), dtype=float32), tf.Tensor(0.88102406, shape=(), dtype=float32), tf.Tensor(0.7882352, shape=(), dtype=float32), tf.Tensor(0.88019353, shape=(), dtype=float32), tf.Tensor(0.884058, shape=(), dtype=float32), tf.Tensor(0.8529262, shape=(), dtype=float32), tf.Tensor(0.9596199, shape=(), dtype=float32)]""",0.8791636228561401,0.9061516523361206,0.9057562351226807,4.632912532542832e-05,0.27619874477386475,0.9247576594352722,0.8856198787689209,0.9955819249153137,0.9207048416137695,"""[tf.Tensor(0.9372128, shape=(), dtype=float32), tf.Tensor(0.8208955, shape=(), dtype=float32), tf.Tensor(0.9774127, shape=(), dtype=float32), tf.Tensor(0.9154929, shape=(), dtype=float32), tf.Tensor(0.84981686, shape=(), dtype=float32), tf.Tensor(0.7889908, shape=(), dtype=float32), tf.Tensor(0.8759397, shape=(), dtype=float32), tf.Tensor(0.89788043, shape=(), dtype=float32), tf.Tensor(0.8584269, shape=(), dtype=float32), tf.Tensor(0.9761605, shape=(), dtype=float32)]""",0.8898228406906128,0.92070472240448,0.9202269315719604,0.23887112736701965,0.934922456741333,0.9071218967437744
90,0.9949443340301514,0.9104782938957214,"""[tf.Tensor(0.9156789, shape=(), dtype=float32), tf.Tensor(0.80203784, shape=(), dtype=float32), tf.Tensor(0.962298, shape=(), dtype=float32), tf.Tensor(0.8846441, shape=(), dtype=float32), tf.Tensor(0.8700305, shape=(), dtype=float32), tf.Tensor(0.8488372, shape=(), dtype=float32), tf.Tensor(0.8799355, shape=(), dtype=float32), tf.Tensor(0.8929793, shape=(), dtype=float32), tf.Tensor(0.8616161, shape=(), dtype=float32), tf.Tensor(0.9613303, shape=(), dtype=float32)]""",0.8879387974739075,0.9104782342910767,0.9101861119270325,4.632912532542832e-05,0.2715418338775635,0.9288647770881653,0.8895531892776489,0.9958707094192505,0.9185022115707397,"""[tf.Tensor(0.9641184, shape=(), dtype=float32), tf.Tensor(0.78417265, shape=(), dtype=float32), tf.Tensor(0.96747965, shape=(), dtype=float32), tf.Tensor(0.8972602, shape=(), dtype=float32), tf.Tensor(0.8519855, shape=(), dtype=float32), tf.Tensor(0.7735848, shape=(), dtype=float32), tf.Tensor(0.8582834, shape=(), dtype=float32), tf.Tensor(0.8876404, shape=(), dtype=float32), tf.Tensor(0.8677494, shape=(), dtype=float32), tf.Tensor(0.98004985, shape=(), dtype=float32)]""",0.8832324147224426,0.918502151966095,0.9175758361816406,0.24000917375087738,0.9356548190116882,0.907489001750946
91,0.9951974153518677,0.9101636409759521,"""[tf.Tensor(0.922196, shape=(), dtype=float32), tf.Tensor(0.8070692, shape=(), dtype=float32), tf.Tensor(0.9566383, shape=(), dtype=float32), tf.Tensor(0.86754215, shape=(), dtype=float32), tf.Tensor(0.87862986, shape=(), dtype=float32), tf.Tensor(0.85769224, shape=(), dtype=float32), tf.Tensor(0.86900437, shape=(), dtype=float32), tf.Tensor(0.8973808, shape=(), dtype=float32), tf.Tensor(0.8655504, shape=(), dtype=float32), tf.Tensor(0.96358085, shape=(), dtype=float32)]""",0.8885284662246704,0.9101635813713074,0.9098734855651855,4.632912532542832e-05,0.26370713114738464,0.928413450717926,0.8916771411895752,0.9962265491485596,0.9258443713188171,"""[tf.Tensor(0.9593749, shape=(), dtype=float32), tf.Tensor(0.83754504, shape=(), dtype=float32), tf.Tensor(0.9814432, shape=(), dtype=float32), tf.Tensor(0.8971631, shape=(), dtype=float32), tf.Tensor(0.86021507, shape=(), dtype=float32), tf.Tensor(0.8305084, shape=(), dtype=float32), tf.Tensor(0.87969923, shape=(), dtype=float32), tf.Tensor(0.89961386, shape=(), dtype=float32), tf.Tensor(0.8722892, shape=(), dtype=float32), tf.Tensor(0.9765431, shape=(), dtype=float32)]""",0.8994395136833191,0.9258443117141724,0.9252797961235046,0.21859972178936005,0.9410207867622375,0.9137297868728638
92,0.9948538541793823,0.9063876867294312,"""[tf.Tensor(0.9044886, shape=(), dtype=float32), tf.Tensor(0.792873, shape=(), dtype=float32), tf.Tensor(0.95921105, shape=(), dtype=float32), tf.Tensor(0.8702175, shape=(), dtype=float32), tf.Tensor(0.88441455, shape=(), dtype=float32), tf.Tensor(0.8326848, shape=(), dtype=float32), tf.Tensor(0.8709024, shape=(), dtype=float32), tf.Tensor(0.89754444, shape=(), dtype=float32), tf.Tensor(0.86292356, shape=(), dtype=float32), tf.Tensor(0.95921606, shape=(), dtype=float32)]""",0.8834476470947266,0.9063876271247864,0.9060234427452087,4.632912532542832e-05,0.27372682094573975,0.9254525899887085,0.8886878490447998,0.9961495399475098,0.9229074716567993,"""[tf.Tensor(0.9517884, shape=(), dtype=float32), tf.Tensor(0.81294954, shape=(), dtype=float32), tf.Tensor(0.9637096, shape=(), dtype=float32), tf.Tensor(0.90189326, shape=(), dtype=float32), tf.Tensor(0.8582089, shape=(), dtype=float32), tf.Tensor(0.82170534, shape=(), dtype=float32), tf.Tensor(0.8759689, shape=(), dtype=float32), tf.Tensor(0.9006085, shape=(), dtype=float32), tf.Tensor(0.8836104, shape=(), dtype=float32), tf.Tensor(0.9759703, shape=(), dtype=float32)]""",0.8946412801742554,0.9229074120521545,0.9221280813217163,0.22398148477077484,0.9383975863456726,0.911527156829834
93,0.9951556324958801,0.9078823328018188,"""[tf.Tensor(0.90572387, shape=(), dtype=float32), tf.Tensor(0.79325503, shape=(), dtype=float32), tf.Tensor(0.95318764, shape=(), dtype=float32), tf.Tensor(0.87654775, shape=(), dtype=float32), tf.Tensor(0.8710644, shape=(), dtype=float32), tf.Tensor(0.8423076, shape=(), dtype=float32), tf.Tensor(0.8711111, shape=(), dtype=float32), tf.Tensor(0.89590436, shape=(), dtype=float32), tf.Tensor(0.8783715, shape=(), dtype=float32), tf.Tensor(0.96155876, shape=(), dtype=float32)]""",0.8849032521247864,0.9078822731971741,0.9075794219970703,4.632912532542832e-05,0.2695803940296173,0.9254500865936279,0.8896318674087524,0.9959274530410767,0.9155653715133667,"""[tf.Tensor(0.946875, shape=(), dtype=float32), tf.Tensor(0.75999993, shape=(), dtype=float32), tf.Tensor(0.98755175, shape=(), dtype=float32), tf.Tensor(0.89, shape=(), dtype=float32), tf.Tensor(0.8737201, shape=(), dtype=float32), tf.Tensor(0.816, shape=(), dtype=float32), tf.Tensor(0.8536082, shape=(), dtype=float32), tf.Tensor(0.8880455, shape=(), dtype=float32), tf.Tensor(0.866995, shape=(), dtype=float32), tf.Tensor(0.96951216, shape=(), dtype=float32)]""",0.8852307200431824,0.9155653119087219,0.9136509895324707,0.24147255718708038,0.9294339418411255,0.9041849970817566
94,0.9950324892997742,0.9075676798820496,"""[tf.Tensor(0.9095221, shape=(), dtype=float32), tf.Tensor(0.80261236, shape=(), dtype=float32), tf.Tensor(0.960538, shape=(), dtype=float32), tf.Tensor(0.8770738, shape=(), dtype=float32), tf.Tensor(0.8691729, shape=(), dtype=float32), tf.Tensor(0.8476562, shape=(), dtype=float32), tf.Tensor(0.8698795, shape=(), dtype=float32), tf.Tensor(0.8952945, shape=(), dtype=float32), tf.Tensor(0.8722645, shape=(), dtype=float32), tf.Tensor(0.9572581, shape=(), dtype=float32)]""",0.8861272931098938,0.9075676202774048,0.9073323607444763,4.632912532542832e-05,0.27302640676498413,0.9258500337600708,0.8889238238334656,0.9958798289299011,0.9140968918800354,"""[tf.Tensor(0.9484848, shape=(), dtype=float32), tf.Tensor(0.780303, shape=(), dtype=float32), tf.Tensor(0.9521911, shape=(), dtype=float32), tf.Tensor(0.88079464, shape=(), dtype=float32), tf.Tensor(0.87412584, shape=(), dtype=float32), tf.Tensor(0.78504664, shape=(), dtype=float32), tf.Tensor(0.85010266, shape=(), dtype=float32), tf.Tensor(0.8946321, shape=(), dtype=float32), tf.Tensor(0.8618266, shape=(), dtype=float32), tf.Tensor(0.9776119, shape=(), dtype=float32)]""",0.8805119395256042,0.9140968322753906,0.9125296473503113,0.24524284899234772,0.929791271686554,0.8994126319885254
95,0.9951775074005127,0.9133102297782898,"""[tf.Tensor(0.91797787, shape=(), dtype=float32), tf.Tensor(0.80207556, shape=(), dtype=float32), tf.Tensor(0.9610389, shape=(), dtype=float32), tf.Tensor(0.8844411, shape=(), dtype=float32), tf.Tensor(0.88490283, shape=(), dtype=float32), tf.Tensor(0.8336594, shape=(), dtype=float32), tf.Tensor(0.88432074, shape=(), dtype=float32), tf.Tensor(0.8943781, shape=(), dtype=float32), tf.Tensor(0.8729674, shape=(), dtype=float32), tf.Tensor(0.9636291, shape=(), dtype=float32)]""",0.8899391293525696,0.913310170173645,0.9129061102867126,4.401266778586432e-05,0.2647489309310913,0.9309439659118652,0.8929358124732971,0.9931211471557617,0.9071218967437744,"""[tf.Tensor(0.9561128, shape=(), dtype=float32), tf.Tensor(0.81481475, shape=(), dtype=float32), tf.Tensor(0.9579158, shape=(), dtype=float32), tf.Tensor(0.87121207, shape=(), dtype=float32), tf.Tensor(0.83271366, shape=(), dtype=float32), tf.Tensor(0.813008, shape=(), dtype=float32), tf.Tensor(0.8619402, shape=(), dtype=float32), tf.Tensor(0.8421052, shape=(), dtype=float32), tf.Tensor(0.8484848, shape=(), dtype=float32), tf.Tensor(0.97361803, shape=(), dtype=float32)]""",0.877192497253418,0.9071218371391296,0.9073197841644287,0.28134533762931824,0.9250950813293457,0.8931717872619629
96,0.99549400806427,0.9114222526550293,"""[tf.Tensor(0.9197717, shape=(), dtype=float32), tf.Tensor(0.8162973, shape=(), dtype=float32), tf.Tensor(0.96309465, shape=(), dtype=float32), tf.Tensor(0.8759012, shape=(), dtype=float32), tf.Tensor(0.8759571, shape=(), dtype=float32), tf.Tensor(0.84251964, shape=(), dtype=float32), tf.Tensor(0.8643255, shape=(), dtype=float32), tf.Tensor(0.90276, shape=(), dtype=float32), tf.Tensor(0.8732251, shape=(), dtype=float32), tf.Tensor(0.9620758, shape=(), dtype=float32)]""",0.8895927667617798,0.9114221930503845,0.9112798571586609,4.401266778586432e-05,0.25860095024108887,0.929899275302887,0.8932504653930664,0.9941131472587585,0.903817892074585,"""[tf.Tensor(0.9402515, shape=(), dtype=float32), tf.Tensor(0.76136357, shape=(), dtype=float32), tf.Tensor(0.9617706, shape=(), dtype=float32), tf.Tensor(0.87248313, shape=(), dtype=float32), tf.Tensor(0.8590163, shape=(), dtype=float32), tf.Tensor(0.84552836, shape=(), dtype=float32), tf.Tensor(0.81596446, shape=(), dtype=float32), tf.Tensor(0.88050306, shape=(), dtype=float32), tf.Tensor(0.86682796, shape=(), dtype=float32), tf.Tensor(0.96871084, shape=(), dtype=float32)]""",0.8772419691085815,0.9038178324699402,0.9040778875350952,0.28876203298568726,0.9240214824676514,0.8839941024780273
97,0.9955440163612366,0.9076462984085083,"""[tf.Tensor(0.90294206, shape=(), dtype=float32), tf.Tensor(0.80640453, shape=(), dtype=float32), tf.Tensor(0.9597855, shape=(), dtype=float32), tf.Tensor(0.87954545, shape=(), dtype=float32), tf.Tensor(0.8759455, shape=(), dtype=float32), tf.Tensor(0.85156256, shape=(), dtype=float32), tf.Tensor(0.8710717, shape=(), dtype=float32), tf.Tensor(0.8963752, shape=(), dtype=float32), tf.Tensor(0.85612965, shape=(), dtype=float32), tf.Tensor(0.9604221, shape=(), dtype=float32)]""",0.8860183954238892,0.9076462388038635,0.9073010087013245,4.401266778586432e-05,0.2641769051551819,0.926077663898468,0.8889238238334656,0.9955600500106812,0.9063876867294312,"""[tf.Tensor(0.8885793, shape=(), dtype=float32), tf.Tensor(0.790378, shape=(), dtype=float32), tf.Tensor(0.97933877, shape=(), dtype=float32), tf.Tensor(0.90106004, shape=(), dtype=float32), tf.Tensor(0.85185176, shape=(), dtype=float32), tf.Tensor(0.8034188, shape=(), dtype=float32), tf.Tensor(0.8600406, shape=(), dtype=float32), tf.Tensor(0.8855932, shape=(), dtype=float32), tf.Tensor(0.8602619, shape=(), dtype=float32), tf.Tensor(0.9664344, shape=(), dtype=float32)]""",0.8786956667900085,0.9063876271247864,0.9065008163452148,0.26501739025115967,0.9216799139976501,0.8942731022834778
